Group,name,Recording,ctrlength,length,contour_  1,contour_  2,contour_  3,contour_  4,contour_  5,contour_  6,contour_  7,contour_  8,contour_  9,contour_ 10,contour_ 11,contour_ 12,contour_ 13,contour_ 14,contour_ 15,contour_ 16,contour_ 17,contour_ 18,contour_ 19,contour_ 20,contour_ 21,contour_ 22,contour_ 23,contour_ 24,contour_ 25,contour_ 26,contour_ 27,contour_ 28,contour_ 29,contour_ 30,contour_ 31,contour_ 32,contour_ 33,contour_ 34,contour_ 35,contour_ 36,contour_ 37,contour_ 38,contour_ 39,contour_ 40,contour_ 41,contour_ 42,contour_ 43,contour_ 44,contour_ 45,contour_ 46,contour_ 47,contour_ 48,contour_ 49,contour_ 50,contour_ 51,contour_ 52,contour_ 53,contour_ 54,contour_ 55,contour_ 56,contour_ 57,contour_ 58,contour_ 59,contour_ 60,contour_ 61,contour_ 62,contour_ 63,contour_ 64,contour_ 65,contour_ 66,contour_ 67,contour_ 68,contour_ 69,contour_ 70,contour_ 71,contour_ 72,contour_ 73,contour_ 74,contour_ 75,contour_ 76,contour_ 77,contour_ 78,contour_ 79,contour_ 80,contour_ 81,contour_ 82,contour_ 83,contour_ 84,contour_ 85,contour_ 86,contour_ 87,contour_ 88,contour_ 89,contour_ 90,contour_ 91,contour_ 92,contour_ 93,contour_ 94,contour_ 95,contour_ 96,contour_ 97,contour_ 98,contour_ 99,contour_100,contour_101,contour_102,contour_103,contour_104,contour_105,contour_106,contour_107,contour_108,contour_109,contour_110,contour_111,contour_112,contour_113,contour_114,contour_115,contour_116,contour_117,contour_118,contour_119,contour_120,contour_121,contour_122,contour_123,contour_124,contour_125,contour_126,contour_127,contour_128,contour_129,contour_130,contour_131,contour_132,contour_133,contour_134,contour_135,contour_136,contour_137,contour_138,contour_139,contour_140,contour_141,contour_142,contour_143,contour_144,contour_145,contour_146,contour_147,contour_148,contour_149,contour_150,contour_151,contour_152,contour_153,contour_154,contour_155,contour_156,contour_157,contour_158,contour_159,contour_160,contour_161,contour_162,contour_163,contour_164,contour_165,contour_166,contour_167,contour_168,contour_169,contour_170,contour_171,contour_172,contour_173,contour_174,contour_175,contour_176,contour_177,contour_178,contour_179,contour_180,contour_181,contour_182,contour_183,contour_184,contour_185,contour_186,contour_187,contour_188,contour_189,contour_190,contour_191,contour_192,contour_193,contour_194,contour_195,contour_196,contour_197,contour_198,contour_199,contour_200,contour_201,contour_202,contour_203,contour_204,contour_205,contour_206,contour_207,contour_208,contour_209,contour_210,contour_211,contour_212,contour_213,contour_214,contour_215,contour_216,contour_217,contour_218,contour_219,contour_220,contour_221,contour_222,contour_223,contour_224,contour_225,contour_226,contour_227,contour_228,contour_229,contour_230,contour_231,contour_232,contour_233,contour_234,contour_235,contour_236,contour_237,contour_238,contour_239,contour_240,contour_241,contour_242,contour_243,contour_244,contour_245,contour_246,contour_247,contour_248,contour_249,contour_250,contour_251,contour_252,contour_253,contour_254,contour_255,contour_256,contour_257,contour_258,contour_259,contour_260,contour_261,contour_262,contour_263,contour_264,contour_265,contour_266,contour_267,contour_268,contour_269,contour_270,contour_271,contour_272,contour_273,contour_274,contour_275,contour_276,contour_277,contour_278,contour_279,contour_280,contour_281,contour_282,contour_283,contour_284,contour_285,contour_286,contour_287,contour_288,contour_289,contour_290,contour_291,contour_292,contour_293,contour_294,contour_295,contour_296,contour_297,contour_298,contour_299,contour_300,contour_301,contour_302,contour_303,contour_304,contour_305,contour_306,contour_307,contour_308,contour_309,contour_310,contour_311,contour_312,contour_313,contour_314,contour_315,contour_316,contour_317,contour_318,contour_319,contour_320,contour_321,contour_322,contour_323,contour_324,contour_325,contour_326,contour_327,contour_328,contour_329,contour_330,contour_331,contour_332,contour_333,contour_334,contour_335,contour_336,contour_337,contour_338,contour_339,contour_340,contour_341,contour_342,contour_343,contour_344,contour_345,contour_346,contour_347,contour_348,tempres,category,match
Guiana,PAC_118.ctr,2,0.116,12,13031.25,12281.25,12468.75,12562.5,12750,13171.875,16171.875,17296.875,19171.875,21609.375,23390.625,25312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,67,97.4898456
Artificial_MSG,PAC_119.ctr,2,0.478,48,16218.75,18187.5,19828.125,21000,22078.125,23437.5,24468.75,25359.375,25734.375,26437.5,26671.875,26765.625,27187.5,27703.125,27796.875,27984.375,28078.125,28453.125,28687.5,28687.5,28687.5,28734.375,28734.375,28734.375,28734.375,28734.375,28828.125,34500,34640.625,35015.625,35109.375,35250,35296.875,35296.875,35296.875,35296.875,35296.875,35203.125,35203.125,35062.5,34875,34734.375,34125,33890.625,33281.25,32343.75,31500,31312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,208,98.9246797
Guiana,PAC_121.ctr,2,0.128666667,13,17390.625,17671.875,17671.875,17625,17671.875,17953.125,18468.75,19031.25,20812.5,23015.625,24656.25,26296.875,28406.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,125,97.33279591
Guiana,PAC_122.ctr,2,0.225333333,23,11343.75,11390.625,11578.125,12421.875,12703.125,13171.875,13968.75,13968.75,13968.75,13968.75,13968.75,13968.75,13968.75,15140.625,15140.625,15187.5,15187.5,15281.25,16687.5,16687.5,16687.5,16734.375,16640.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,8,98.46640037
Artificial_MSG,PAC_123.ctr,2,0.210666667,22,8578.125,8578.125,8953.125,9046.875,9140.625,9281.25,9375,9468.75,9562.5,9562.5,9750,9843.75,9890.625,10031.25,10687.5,11390.625,13453.125,15187.5,20156.25,23671.875,24609.375,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,10,97.08688457
Guiana,PAC_125.ctr,2,0.366,37,8671.875,9515.625,8625,8718.75,8859.375,9234.375,10171.875,10359.375,10781.25,11296.875,11390.625,11437.5,11437.5,11484.375,11484.375,12656.25,12750,12750,12984.375,12984.375,12937.5,12890.625,13593.75,13734.375,13593.75,13359.375,13312.5,13359.375,14015.625,14625,14625,14859.375,16031.25,16828.125,16875,17250,17062.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,80,98.12205455
Guiana,PAC_126.ctr,2,0.136,14,16031.25,15984.375,16078.125,16593.75,16781.25,17015.625,17156.25,17250,17296.875,17250,17203.125,17531.25,18375,18890.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,288,98.67016181
Artificial_MSG,PAC_127.ctr,2,0.267333333,27,9656.25,10640.625,10921.875,11296.875,11390.625,11484.375,11484.375,11578.125,12796.875,12843.75,12843.75,13078.125,13078.125,13078.125,13078.125,13031.25,13031.25,13031.25,13031.25,13031.25,13031.25,13078.125,13125,13171.875,13171.875,13218.75,13312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,3,98.10284329
Guiana,PAC_128.ctr,2,0.222666667,23,8390.625,10218.75,10640.625,10734.375,11671.875,12468.75,12468.75,12468.75,13078.125,13125,13875,14015.625,14015.625,13921.875,13875,13781.25,13968.75,15468.75,15234.375,15421.875,15328.125,18281.25,18750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,343,97.24987229
Guiana,PAC_129.ctr,2,0.226666667,23,10781.25,10687.5,11343.75,12468.75,13125,13218.75,13171.875,13125,14062.5,14062.5,14062.5,14109.375,14109.375,14015.625,14109.375,14250,14390.625,15375,15703.125,16265.625,16640.625,16875,17015.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000666667,8,98.3539121
