Population,Individual,Song,pc_1_value,pc_2_value,# km_cats_2_value,# km_cats_3_value,# km_cats_4_value,# km_cats_5_value
,MSG,"T0000006.sel.05.ch01_1,1",0.069127624,-0.011316542,1,1,1,1
,MSG,"T0000006.sel.06.ch01_1,1",0.107404711,-0.005900261,1,3,3,1
,MSG,"T0000006.sel.01.ch01_1,1",0.132561256,0.003497121,1,3,3,1
,MSG,"T0000006.sel.02.ch01_1,1",0.171162809,0.043247337,1,3,3,3
,MSG,"T0000006.sel.04.ch01_1,1",0.127827585,0.037495312,1,3,3,1
,MSG,"T0000006.sel.11.ch01_1,1",0.117240474,0.023058108,1,3,3,1
,MSG,"T0000006.sel.08.ch01_1,1",0.13661104,0.026388829,1,3,3,1
,MSG,"T0000006.sel.22.ch01_1,1",-0.004745147,-0.016166924,1,1,1,5
,MSG,"T0000006.sel.07.ch01_1,1",0.198744111,-0.004584697,1,3,3,3
,MSG,"T0000006.sel.09.ch01_1,1",0.197921847,0.073703179,1,3,3,3
,MSG,"T0000006.sel.12.ch01_1,1",0.091474703,-0.04953687,1,3,3,1
,MSG,"T0000006.sel.13.ch01_1,1",0.119074928,0.024875465,1,3,3,1
,MSG,"T0000006.sel.17.ch01_1,1",0.020438407,0.173955365,1,1,4,4
,MSG,"T0000006.sel.19.ch01_1,1",0.095576958,-0.027803912,1,3,3,1
,MSG,"T0000006.sel.14.ch01_1,1",0.075306565,0.092345053,1,1,4,1
,MSG,"T0000006.sel.25.ch01_1,1",-0.052040848,-0.020947495,2,1,1,5
,MSG,"T0000006.sel.18.ch01_1,1",0.025147517,0.236168208,1,1,4,4
,MSG,"T0000006.sel.20.ch01_1,1",0.170623767,-0.037406864,1,3,3,3
,MSG,"T0000006.sel.32.ch01_1,1",-0.119513603,-0.093903833,2,2,2,5
,MSG,"T0000006.sel.30.ch01_1,1",-0.076826795,-0.035524533,2,1,1,5
,MSG,"T0000006.sel.26.ch01_1,1",0.074557431,-0.03923161,1,3,1,1
,MSG,"T0000006.sel.27.ch01_1,1",0.17140042,-0.06178026,1,3,3,3
,MSG,"T0000006.sel.33.ch01_1,1",0.03603928,-0.043322707,1,1,1,1
,MSG,"T0000006.sel.29.ch01_1,1",0.181685196,-0.059733759,1,3,3,3
,MSG,"T0000006.sel.28.ch01_1,1",0.171638875,-0.030948197,1,3,3,3
,MSG,"T0000006.sel.34.ch01_1,1",0.113532987,0.062190127,1,3,3,1
,MSG,"T0000006.sel.31.ch01_1,1",0.147843026,0.089716985,1,3,3,1
,MSG,"T0000006.sel.46.ch01_1,1",-0.126356784,-0.054674946,2,2,2,2
,MSG,"T0000006.sel.35.ch01_1,1",0.170068419,-0.064464424,1,3,3,3
,MSG,"T0000006.sel.39.ch01_1,1",0.028108269,-0.05958046,1,1,1,5
,MSG,"T0000006.sel.38.ch01_1,1",0.160156447,-0.062877178,1,3,3,3
,MSG,"T0000006.sel.42.ch01_1,1",-0.044060881,-0.04059938,2,1,1,5
,MSG,"T0000006.sel.36.ch01_1,1",0.150793582,-0.075664745,1,3,3,3
,MSG,"T0000006.sel.54.ch01_1,1",-0.257552874,0.062192432,2,2,2,2
,MSG,"T0000006.sel.48.ch01_1,1",-0.238727751,0.063601143,2,2,2,2
,MSG,"T0000006.sel.37.ch01_1,1",0.122560632,-0.064338816,1,3,3,1
,MSG,"T0000006.sel.40.ch01_1,1",0.069504149,-0.052538211,1,3,1,1
,MSG,"T0000006.sel.41.ch01_1,1",0.14810312,-0.024911969,1,3,3,1
,MSG,"T0000006.sel.53.ch01_1,1",-0.223717059,0.054926428,2,2,2,2
,MSG,"T0000006.sel.45.ch01_1,1",0.176361344,-0.052538733,1,3,3,3
,MSG,"T0000006.sel.51.ch01_1,1",-0.21942786,0.056850949,2,2,2,2
,MSG,"T0000006.sel.51.ch01_1,2",0.180697496,-0.063613042,1,3,3,3
,MSG,"T0000006.sel.44.ch01_1,1",0.180771372,-0.042450569,1,3,3,3
,MSG,"T0000006.sel.55.ch01_1,1",-0.23716041,0.0629456,2,2,2,2
,MSG,"T0000006.sel.43.ch01_1,1",0.284452537,-0.037637127,1,3,3,3
,MSG,"T0000006.sel.49.ch01_1,1",-0.184726022,0.117190061,2,2,2,2
,MSG,"T0000006.sel.50.ch01_1,1",-0.230597988,0.075153619,2,2,2,2
,MSG,"T0000006.sel.47.ch01_1,1",-0.066642416,0.249585381,2,1,4,4
,MSG,"T0000006.sel.56.ch01_1,1",-0.297707029,0.075868589,2,2,2,2
,MSG,"T0000006.sel.59.ch01_1,1",-0.237782069,0.060177849,2,2,2,2
,MSG,"T0000006.sel.58.ch01_1,1",-0.218410149,0.066902402,2,2,2,2
,MSG,"T0000006.sel.57.ch01_1,1",-0.239915512,0.060485395,2,2,2,2
,MSG,"T0000006.sel.60.ch01_1,1",-0.250323865,0.077530588,2,2,2,2
,MSG,"T0000006.sel.52.ch01_1,1",-0.120865911,0.028990835,2,2,2,2
,MSG,"T0000006.sel.82.ch01_1,1",-0.354833303,-0.040175842,2,2,2,2
,MSG,"T0000006.sel.61.ch01_1,1",0.036137026,-0.138491167,1,1,1,5
,MSG,"T0000006.sel.77.ch01_1,1",-0.123312859,-0.083247496,2,2,2,5
,MSG,"T0000006.sel.62.ch01_1,1",0.210632617,-0.13412791,1,3,3,3
,MSG,"T0000006.sel.62.ch01_1,2",0.348101854,-0.073711861,1,3,3,3
,MSG,"T0000006.sel.62.ch01_1,3",0.270566825,-0.04735186,1,3,3,3
,MSG,"T0000006.sel.66.ch01_1,1",-0.265919308,0.157241397,2,2,2,2
,MSG,"T0000006.sel.63.ch01_1,1",0.096078965,-0.00394218,1,3,3,1
,MSG,"T0000006.sel.75.ch01_1,1",-0.048438373,-0.030067881,2,1,1,5
,MSG,"T0000006.sel.79.ch01_1,1",-0.053458488,-0.005628606,2,1,1,5
,MSG,"T0000006.sel.65.ch01_1,1",0.23619716,0.106737501,1,3,3,3
