Group,category,type,Group_full,,,
Mixed Species Group (Exclusive),520,Concave,msg,,,
Mixed Species Group (Exclusive),528,Concave,msg,,,
Mixed Species Group (Exclusive),532,Sine,msg,,,
Mixed Species Group (Exclusive),533,Upsweep,msg,,,
Mixed Species Group (Exclusive),534,Sine,msg,,,
Mixed Species Group (Exclusive),535,Upsweep,msg,,,
Mixed Species Group (Exclusive),536,Sine,msg,,,
Mixed Species Group (Exclusive),537,Sine,msg,,,
Mixed Species Group (Exclusive),539,Sine,msg,,,
Mixed Species Group (Exclusive),542,Sine,msg,,,
Mixed Species Group (Exclusive),545,Upsweep,msg,,,
Mixed Species Group (Exclusive),548,Upsweep,msg,,,
Mixed Species Group (Exclusive),554,Downsweep,msg,,,
Mixed Species Group (Exclusive),555,Sine,msg,,,
Mixed Species Group (Exclusive),559,Sine,msg,,,
Mixed Species Group (Exclusive),573,Upsweep,msg,,,
Mixed Species Group (Exclusive),574,Sine,msg,,,
Mixed Species Group (Exclusive),575,Concave,msg,,,
Mixed Species Group (Exclusive),581,Sine,msg,,,
Mixed Species Group (Exclusive),590,Sine,msg,,,
Mixed Species Group (Exclusive),597,Upsweep,msg,,,
Mixed Species Group (Exclusive),612,Sine,msg,,,
Mixed Species Group (Exclusive),616,Sine,msg,,,
Mixed Species Group (Exclusive),619,Sine,msg,,,
Mixed Species Group (Exclusive),632,Sine,msg,,,
Mixed Species Group (Exclusive),634,Upsweep,msg,,,
Mixed Species Group (Exclusive),636,Upsweep,msg,,,
Mixed Species Group (Exclusive),638,Upsweep,msg,,,
Mixed Species Group (Exclusive),644,Sine,msg,,,
Mixed Species Group (Exclusive),646,Upsweep,msg,,,
Mixed Species Group (Exclusive),649,Downsweep,msg,,,
Mixed Species Group (Exclusive),650,Upsweep,msg,,,
Mixed Species Group (Exclusive),656,Upsweep,msg,,,
Mixed Species Group (Exclusive),657,Upsweep,msg,,,
Mixed Species Group (Exclusive),660,Upsweep,msg,,,
