Group,category,type,Group_full,,,
Guiana Dolphin Single Species Group (Exclusive),1015,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1016,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1017,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1021,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1023,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1038,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1039,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1052,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1057,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1060,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1061,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1062,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1063,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1066,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1078,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1088,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1090,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1098,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1104,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1112,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1119,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1137,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1146,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1151,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1152,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1154,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1158,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1161,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1163,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1184,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1192,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1220,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1222,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1251,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1259,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1263,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1265,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1266,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1270,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1302,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1323,Concave,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1329,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1339,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1340,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1342,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1363,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1376,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1392,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1415,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1421,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1423,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1429,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1433,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1439,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1448,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1478,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1493,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1496,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1501,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1502,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1508,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1509,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1521,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1539,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1559,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1565,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1580,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1589,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1607,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1624,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1631,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1637,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1658,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1659,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1661,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1677,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1683,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1696,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1715,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1735,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1772,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1787,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1793,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1797,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1823,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1827,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1836,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1849,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1854,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1863,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1864,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1877,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1906,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),1917,Upsweep,sg,,,
Shared Across 2 or More Contexts,2,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,5,Sine,Shared - All,,,
Shared Across 2 or More Contexts,6,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,8,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,9,Concave,Shared - All,,,
Shared Across 2 or More Contexts,14,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,17,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,18,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,19,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,22,Convex,Shared - All,,,
Shared Across 2 or More Contexts,24,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,28,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,31,Constant,Shared - All,,,
Shared Across 2 or More Contexts,40,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,44,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,50,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,52,Convex,Shared - All,,,
Shared Across 2 or More Contexts,55,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,58,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,67,Sine,Shared - All,,,
Shared Across 2 or More Contexts,69,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,71,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,72,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,81,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,85,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,88,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,93,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,96,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,99,Constant,Shared - All,,,
Shared Across 2 or More Contexts,103,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,104,Constant,Shared - All,,,
Shared Across 2 or More Contexts,117,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,122,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,127,Constant,Shared - All,,,
Shared Across 2 or More Contexts,131,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,134,Sine,Shared - All,,,
Shared Across 2 or More Contexts,135,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,141,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,143,Sine,Shared - All,,,
Shared Across 2 or More Contexts,150,Constant,Shared - All,,,
Shared Across 2 or More Contexts,152,Convex,Shared - All,,,
Shared Across 2 or More Contexts,153,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,155,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,156,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,158,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,161,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,163,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,166,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,167,Constant,Shared - All,,,
Shared Across 2 or More Contexts,170,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,174,Sine,Shared - All,,,
Shared Across 2 or More Contexts,178,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,185,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,186,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,191,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,192,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,197,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,202,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,204,Constant,Shared - All,,,
Shared Across 2 or More Contexts,208,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,217,Convex,Shared - All,,,
Shared Across 2 or More Contexts,222,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,223,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,224,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,228,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,230,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,231,Constant,Shared - All,,,
Shared Across 2 or More Contexts,235,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,241,Convex,Shared - All,,,
Shared Across 2 or More Contexts,252,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,254,Concave,Shared - All,,,
Shared Across 2 or More Contexts,258,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,260,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,267,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,271,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,272,Constant,Shared - All,,,
Shared Across 2 or More Contexts,281,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,288,Constant,Shared - All,,,
Shared Across 2 or More Contexts,302,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,303,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,304,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,306,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,307,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,309,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,318,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,321,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,323,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,325,Sine,Shared - All,,,
Shared Across 2 or More Contexts,330,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,334,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,342,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,351,Constant,Shared - All,,,
Shared Across 2 or More Contexts,359,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,362,Constant,Shared - All,,,
Shared Across 2 or More Contexts,369,Sine,Shared - All,,,
Shared Across 2 or More Contexts,370,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,371,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,385,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,412,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,423,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,427,Convex,Shared - All,,,
Shared Across 2 or More Contexts,437,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,445,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,454,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,456,Constant,Shared - All,,,
Shared Across 2 or More Contexts,458,Convex,Shared - All,,,
Shared Across 2 or More Contexts,462,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,475,Sine,Shared - All,,,
Shared Across 2 or More Contexts,479,Constant,Shared - All,,,
Shared Across 2 or More Contexts,482,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,483,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,485,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,489,Constant,Shared - All,,,
Shared Across 2 or More Contexts,490,Constant,Shared - All,,,
Shared Across 2 or More Contexts,527,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,530,Sine,Shared - All,,,
Shared Across 2 or More Contexts,549,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,553,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,558,Sine,Shared - All,,,
Shared Across 2 or More Contexts,562,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,565,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,566,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,568,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,572,Convex,Shared - All,,,
Shared Across 2 or More Contexts,583,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,585,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,587,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,614,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,621,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,626,Sine,Shared - All,,,
Shared Across 2 or More Contexts,633,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,637,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,681,Concave,Shared - All,,,
Shared Across 2 or More Contexts,687,Constant,Shared - All,,,
Shared Across 2 or More Contexts,701,Convex,Shared - All,,,
Shared Across 2 or More Contexts,726,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,735,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,736,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,738,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,756,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,774,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,794,Sine,Shared - All,,,
Shared Across 2 or More Contexts,844,Sine,Shared - All,,,
Shared Across 2 or More Contexts,883,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,884,Sine,Shared - All,,,
Shared Across 2 or More Contexts,885,Sine,Shared - All,,,
Shared Across 2 or More Contexts,891,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,892,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,893,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,908,Concave,Shared - All,,,
Shared Across 2 or More Contexts,926,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,933,Concave,Shared - All,,,
Shared Across 2 or More Contexts,935,Concave,Shared - All,,,
Shared Across 2 or More Contexts,947,Concave,Shared - All,,,
Shared Across 2 or More Contexts,949,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,951,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,955,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,956,Sine,Shared - All,,,
Shared Across 2 or More Contexts,968,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,973,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,976,Sine,Shared - All,,,
Shared Across 2 or More Contexts,984,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,985,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,990,Constant,Shared - All,,,
Shared Across 2 or More Contexts,997,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,998,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1007,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1010,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1030,Constant,Shared - All,,,
Shared Across 2 or More Contexts,1040,Concave,Shared - All,,,
Shared Across 2 or More Contexts,1042,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1048,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1049,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1050,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1051,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1054,Downsweep,Shared - All,,,
Shared Across 2 or More Contexts,1069,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1071,Convex,Shared - All,,,
Shared Across 2 or More Contexts,1077,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1084,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1087,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1105,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1106,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1108,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1113,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1115,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1118,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1121,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1122,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1132,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1136,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1143,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1145,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1157,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1168,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1179,Convex,Shared - All,,,
Shared Across 2 or More Contexts,1180,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1188,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1196,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1200,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1202,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1203,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1207,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1210,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1213,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1230,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1232,Concave,Shared - All,,,
Shared Across 2 or More Contexts,1241,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1244,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1252,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1258,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1262,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1273,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1274,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1280,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1283,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1288,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1292,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1293,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1298,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1307,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1309,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1326,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1328,Convex,Shared - All,,,
Shared Across 2 or More Contexts,1334,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1338,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1341,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1356,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1369,Convex,Shared - All,,,
Shared Across 2 or More Contexts,1374,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1385,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1390,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1401,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1402,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1403,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1417,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1420,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1425,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1432,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1447,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1461,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1474,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1489,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1491,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1495,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1499,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1504,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1510,Convex,Shared - All,,,
Shared Across 2 or More Contexts,1522,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1531,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1536,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1541,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1545,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1549,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1553,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1557,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1578,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1612,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1613,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1616,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1625,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1634,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1639,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1644,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1650,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1654,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1657,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1691,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1704,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1713,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1720,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1729,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1744,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1751,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1758,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1762,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1770,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1771,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1780,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1788,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1790,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1805,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1814,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1816,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1826,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1828,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1880,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1890,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1905,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1910,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1912,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1918,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1919,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1922,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,1930,Sine,Shared - All,,,
Shared Across 2 or More Contexts,1934,Upsweep,Shared - All,,,
Shared Across 2 or More Contexts,4,Convex,Shared - msg and sg,,,
Shared Across 2 or More Contexts,7,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,10,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,13,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,20,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,23,Convex,Shared - msg and sg,,,
Shared Across 2 or More Contexts,39,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,45,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,62,Concave,Shared - msg and sg,,,
Shared Across 2 or More Contexts,63,Sine,Shared - msg and sg,,,
Shared Across 2 or More Contexts,94,Sine,Shared - msg and sg,,,
Shared Across 2 or More Contexts,98,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,101,Convex,Shared - msg and sg,,,
Shared Across 2 or More Contexts,119,Concave,Shared - msg and sg,,,
Shared Across 2 or More Contexts,129,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,146,Constant,Shared - msg and sg,,,
Shared Across 2 or More Contexts,149,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,154,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,168,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,188,Downsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,195,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,205,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,226,Downsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,243,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,264,Downsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,287,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,289,Upsweep,Shared - msg and sg,,,
Shared Across 2 or More Contexts,316,Sine,Shared - msg and sg,,,
Shared Across 2 or More Contexts,317,Constant,Shared - msg and sg,,,
Shared Across 2 or More Contexts,328,Constant,Shared - msg and sg,,,
